label,value,cnt
Uyğunluq,"GXE3, GXT3, GXT4, NXC, EXS, ITA2 Və digər IntelliSlot Unity hostlar",1
Təyyarə,74 Wh — əksər aviaşirkətlərdə kabinəyə icazə verilir,1
EAN,0196188048092,1
Çəki,0.543 kq,1
Çəki,308 q,2
Part number,21QX001DRT,1
Brend,Philips,1
Qeyd,Kontroller və adapter yoxdur; əsas lentə qoşulur,1
Part number,2E-MF2020WC,1
Standart,Cat 6 UTP,1
Yaddaş,1 TB SSD,1
Part number,2E-GC-BUS-ESBK,1
Növ,Heatsink/Radiator,1
Fırlanma sürəti,15000,4
Part number,A1JN1ES,1
Seriya,Yandex ağıllı rozetka Matter,2
Ölçü (D×E×H),351 × 443 × 43.9 mm,1
Enerji mənbəyi,Batteries,3
Maks. skan ölçüsü,297 x 432 mm,1
EAN,0196786272523,1
Tip,"Orijinal Xerox toner kartrici (Extra High Capacity, DMO)",1
Sürət,"5 GHz üzrə 867 Mbps, 2.4 GHz üzrə 300 Mbps (ümumi 1.2 Gbps)",1
Aggregate,~5.4 Gbps,1
MU-MIMO,2×2:2,2
Keçid tutumu,224 Gbps,1
Battery warranty,1 year (2 years on electronics),5
Məhsul tipi,Network Management Card 3 (NMC3),1
İlk səhifə (rəng),"13,8 san",2
Ölçü,15 × 11 × 1 mm,5
Range of action,up to 18 m (Bluetooth: in open space / without barriers),2
Connection,wired,3
PCIe,1 × PCIe Gen3 x2,7
Model,S6825-54HF,1
Uyğunluq,"PC, Mac, PS5, PS4, mobil (Xbox yoxdur)",1
EAN,0196188049495,1
Part number,S1T37A,1
BYOM,"kamera, dinamik, mikrofon",1
Daxil,charger + Power Supply,3
Sertifikat,CE,1
Form faktor,Rackmount 4U,2
Tip,Server RAM — DDR4 UDIMM,2
Ekran,"14"" OLED/IPS Touch (ThinkPad X1 2-in-1 Gen 10 Aura platform)",1
Ölçülər,265 × 80 × 139 mm,1
Max. Output Power,1500 VA,1
Qida,"USB 5 V, maks. 600 mA / 3 W",1
Ölçü,15–15.9 düym,1
Tip,3-in-1 maqnit simsiz şarj stansiyası,1
Uzunluq,20 m,1
Model,GS1100-24E,1
Özboşalma,aşağı,4
Ölçü,128.5 × 79.4 × 19.2 mm,1
Stabilizasiya,SuperSmooth (gimbal səviyyəli elektron stabilizasiya),1
İmpedans,32 Ohm; maks. 117 dB,1
Ölçü,53.4 × 23.2 × 7.5 mm,1
Ölçü,22 × 80 × 2.21 mm,3
Region,EMEA & APAC Edition,1
Brend,TP-Link (Tapo),4
Qida bloku (bu konfiq),Dual 800 W,2
İnterfeys,USB 2.0 (2.4GHz),1
Parlaqlıq,~200 cd/m² (tipik),1
Kartric,"HP 145A Original Black LaserJet Toner Cartridge (~1,700 yield) W1450A; HP 145X Original Black LaserJet Toner Cartridge (~3,800 yield) W1450X",2
Həssaslıq,-7.5,1
PoE,Yox,4
Model,GWN7703,1
Uyğunluq,"Dell EMC PowerEdge C6420, FC640, R440, R540, R640, R6415, R740, R740xd, R7415, R7425",1
Çəki,317 q,2
Düymə sayı,104,2
Daxili şarj,Xeyr,1
Forma,Pluggable modul,3
Part number,RZ03-04700800-R3R1,1
GPU,Mali-G52 MC3,3
Model,GWN7661,1
"Cord length, m",10,1
Uplink,4 × 1 q/10 q BASE-X SFP+,3
Model,Dell Pro Micro QCM1250,2
Portlar,"1 × HDMI 1.4, 1 × VGA, Qulaqlıq çıxışı (3.5 mm Audio Out)",1
Model,Dell EcoLoop Essential Backpack 14–16 CP3724,1
Part number,006R04404,1
Seriya,Razer BlackWidow V3 TKL,1
Additional information,Energy efficiency class B,1
Seriya,Razer Wolverine V3 Tournament Edition,2
Part number,72123400-6000000-000-RS,1
SSD tutumu,240 GB,1
Outlets with a reserve,2 pcs SCHUKO,3
Seriya,Kingston FURY Renegade,5
Yazma sürəti,1000 MB/s,1
Tip,Portativ ağıllı kolonka,4
Çəki,1.08 kq (paket),1
Güc,5 W / Cihazın nominal gücü: 9 Vt,1
EAN,0196548124015,1
Part number,Core86,1
Tip,"FortiGate 61F — desktop NGFW + SD-WAN, daxili SSD",1
Tip,2.0 oyun dinamiki,1
Model,CD239,1
Tip,USB RGB mikrofon (QuadCast S),1
Runtime,"~3,5 dəq @100% / ~6,9 dəq @70%",1
Tövsiyə olunan həcm,750 - 4000 səh/ay,8
Model,HP S5 524sw FHD,1
Qrafika,RTX 2000 Ada 8GB,1
Model,YNDX-00054GRY,1
Switch,Analog Optical Switch Gen-2,2
Akselerasiya,"SP5 ASIC, TPM, BLE, fanless desktop",2
Part number,492-BBSD,1
Part number,63DBRAT1EU,1
Dimensions ( HxWxD ),140x100x290 mm,2
Komplekt,PSU + montaj lövhəsi / vintlər,1
Part number,P40500-B21,1
Part number,12SA0028RU,1
Daxili,TPU padded,2
Organizer,✔️,7
Part Number,7G8F3AA,1
Uplink,2 × 1 q SFP,6
Tip,"FortiGate 71 q — desktop NGFW + SD-WAN, daxili SSD",1
Optimizasiya,Microsoft Teams (MS),17
Tip,Wired mono headset,3
Ölçülər,80 × 80 × 36 mm,2
Seriya,Razer Pro Click V2 Vertical,1
Çəki,282 q,2
Maks. ötürmə,16000 Mbit/s,2
Min. çıxış gərginliyi,5 V,5
Bluetooth,"5.0, SBC, BLE",3
Model,GRP2636,1
RAID,"0, 1, 10 (mixed RAID+HBA rejim)",1
Audio kodekləri,"Genişzolaqlı HD səs dəstəyi, G.711a/u, G.729a/b, iLBC",1
İlk səhifə,5.8 san; ilk copy: 5.3 san,2
Part number,860P8AA,1
Part number,40B00135EU,1
Mikrofon,"Boom microphone, səs-küy azaldan",1
Ekran,"14"" WUXGA (1920×1200) IPS/UWVA 400 nit",1
Radio frequency range,2402–2480 MHz,5
Part number,2E-MK405UBK_UA,1
Protokol,"Standart SIP v2 (RFC 3261), HTTPS provayzinq",1
Qrafika,Intel UHD Graphics 730 (inteqrasiya),1
"Çap sürəti (qara, ISO)",22 səh/dəq,1
Çəki,"4,9 kq",1
Çəki / ölçülər,Starting at 1.7 kq (3.75 lbs) | 356x253.5x17.5 mm,4
RAM,8 GB onboard (genişlənməz),1
EAN,4514953847620,1
Part number,4ZB95A,1
PoE dəstəyi,IEEE 802.3af PoE (Class 3) və Cisco Inline Power,4
Energy consumption standard,25 V / 48 Vt maks..,1
NGFW,800 Mbps,2
Mobile operating systems supported,"Android 5.0, iOS 13.4",1
Part number,DTDUO3CG3/128GB,1
Part Number,727A8AA,1
Keçid tutumu,100 Gbps,3
Giriş/çıxış,230 V (220/240 V konfiqurasiya),1
Portlar,24 × GE RJ45 PoE+ + 4 × GE SFP + mgmt 10/100 + konsol,1
Düymələr,20 dual-color + 2 arrow (40 kontakt/extension),1
Part number,SEDC600 m/960 q,1
CAS Gecikməsi,CL9 (9-12-C2),1
Çəki,58.3 q,2
İnterfeys,SATA 3.0 (6 Gbps),12
Switch,Mechanical key switch,3
Batareya tutumu,72 Wh,1
Çəki,630 q,3
Part number,SP-FG300E-PS,1
Model,Alienware 18 Backpack AW7825P,1
Görüntü imkanı,3840 × 2160 (4K) @ 240 Hz,1
Uzunluq,5 m,5
Seriya,Apacer AC731,1
NAND,3D NAND,27
Standart,"microSDXC, UHS-I (Express deyil — prays: UHS1 V30 U3 A2)",1
Tip,Multi-mode simsiz siçan,1
- Superior Material for Durability,"This USB C to USB C cable fast charging uses Laser-welded aluminum alloy interface with nylon braiding ensures durability over 20,000 plugs/unplugs. Flexible, tangle-resistant design for long-lasting use",1
Seriya,Engage 75,1
Üzlük,parça (fabric),1
Tutum,250 GB,1
Ötürmə,23.80 Mpps,2
Part number,345-BFYM,1
Part number,QM2-2P-384A,1
Portlar,8 × 1GbE RJ45 + 4 × 10GbE SFP+/RJ45 Combo,1
En,10 mm,2
Kommunikasiya,"Mini Slot, USB, RS-232, RS-485, REPO",2
Tezlik,18–23000 Hz,1
Tip,"Inkjet MFP (A3, wide format)",1
Standart,"IEEE 802.11ac/n/a 5 GHz, IEEE 802.11b/g/n 2.4 GHz",2
Model,Dash Cam 4K A800S (Midrive A800S),1
Tip,"Flush mount sleeve, Instant On AP25",1
Forma,"3.5"" (hündürlük 26.11 mm)",2
Qida,250 W (tək),2
Dizayn,"Kompakt və yüngül, səyahət və noutbuk istifadəsi üçün ideal",1
MTBF,2.0 milyon saat (B100P broşura),1
Sertifikat,"RoHS, CE, FCC, RCM, VCCI, JEDEC",1
HDR,"Dolby Vision, DisplayHDR True Black 400",1
"Luminous flux, lm",255,1
İdarəetmə,GDMS cloud provisioning,1
Kontrast,3000:1,4
OS,"Windows, macOS, iPhone 15+, Android 4.1+, Linux, PS5",3
Ölçü (D×E×H),260 × 275 × 44 mm,1
Protective functions,water resistant,3
Part number,2E-KS120UB,1
İnterfeys,Bluetooth 3.0/5.0 / USB adapter 2.4 GHz,2
İdarəetmə,"Web GUI, CLI, SSH, Aruba Central",11
Part number,2E-SK140BL,1
Prosessor,Intel Core Ultra 5 235U vPro,1
Tip,Powerbank,1
Çəki,4.32 kq,1
Ölçülər,358.0 × 256.0 × 15.08–25.60 mm,1
Qeyd,DMO region P/N (NA/XE ekvivalent 006R04822),1
Rəng,Qara (Stealth),1
Part number,MR.HD.GTN42U81.01_PRF63,1
İşıqlandırma,White LED,1
Seriya,Razer DeathAdder V3 Pro,2
USB,4 × USB 3.2 Gen 1,6
Giriş,"230 V nominal, 47–63 Hz",2
Rəng,Kosmik Boz (Space Gray),1
Model,Dell 4TB Hard Drive NLSAS 12Gbps 7K RPM 512n 3.5in Hot-plug,1
Battery charging time,3 hours,2
Tip,USB-C multifunksional adapter / hub,1
Hüceyrə səmərəliliyi,"23,4%-ə qədər",2
Statik kontrast,3000:1 (SmartContrast: Mega Infinity DCR),1
Aşkarlama və Bildiriş,"Hərəkət və insan tanıma, ani smartfon xəbərdarlığı",1
Tip,"Basic PDU, şaquli 0U (42U şkaf), iki dövrə",2
Tip,Instant On Secure Gateway SG1004,1
Part number,ECW260,1
Zəmanət,5 il və ya Percentage Used,2
Part number,401-ABHQ,1
Part number,UPS502R2RT2N035,1
Model,HP Color LaserJet Pro CP5225dn,1
Çəki,Təxminən 0.9 kq,1
Part number,FAP-231K-E,1
İşləmə müddəti,"Tək şarjla 4 saat fasiləsiz musiqi, 3.5 saat danışıq, keys ilə birlikdə 20+ saat, 100 saat gözləmə müddəti",1
Rəng,Shell White,6
Oxuma / yazma,1050 / 1000 MB/s,4
Hub interfeysləri,USB 2.0,1
Model,Dell 16 Plus DB16250,2
Part number,FS-108F,1
Çözünürlük,"600 × 600 dpi, 2400 Image Quality",3
Yaddaş tipi,DDR5,2
Soyutma,fanless (səssiz),1
Part number,P53561-B21,1
Çəki,4 q,2
Ölçülər,43 × 24 × 81 mm,2
Designed for cleaning,"qulaqlıqlar üçün klaviatypi, monitorlar, telefonlar, kameralar və s.",1
Çəki,3.46 kq,1
Çəki,4.68 kq,2
Tip,simsiz yığcam oyun siçanı,2
Number of outlets,"5 5 rozetka Tip F (torpaqlama ilə avrorozetka), ştepsel Tip F (avroştepsel torpaqlama ilə)",2
Adaptive Sync,"AMD FreeSync Premium, VESA AdaptiveSync",1
PCIe,"PCIe Gen4 x8, low-profile (full-height dəstdə)",1
Tip,10GbE SFP+ SR optik transceiver,1
Part number,RZ04-03240100-R3M1,1
Səs rejimləri,"Otaq / küçə, avtomatik keçid",4
Uplink,6 × SFP+,1
Host,"PCIe Gen4 x8, HH/HL plug-in",1
Ölçülər (E×D×H),438 × 462 × 88 mm,1
Tip,Dual-port 10GbE SFP+ PCIe kart,1
Uyğunluq,ProLiant MicroServer Gen10,1
Part number,Ad16GB56C46P5U,1
HDMI,1 × HDMI 1.4b (4K),1
EAN,0767041034424,1
Çəki,500 q,12
Gərginlik,"220–240 V, 50 Hz",6
Model,2GB 1Rx8 PC3-12800U-11-11-A1 (M378B5773DH0-CK0),1
Bağlantı,"HyperSpeed 2.4 GHz + USB-C (BT yoxdur, dongle)",2
Batareya,2.4 GHz: 20 saat; Bluetooth: 25 saatadək; şarj 4.5 saat,1
Form faktor,"2U short-depth, 88.6 × 432 × 297.4 mm",4
Part number,RZ03-04692500-R3R1,1
Part number,AP4TBAC732B-1,1
Rəng,"Rəngli (CMYK, 4 kartric)",1
Çəki,30.6 kq,1
Part number,ECW120,1
Texnologiya,Gallium Nitride (GaN) yarımkeçirici texnologiyası (yüksək enerji səmərəliliyi və minimum qızma),1
Sensorlar,Yox,1
Prosessor,Intel Core Ultra 7 265U (vPro),1
Giriş/çıxış,"208/220/230/240 Vac, 1P2 W + PE",1
Model,HP 203A Cyan Original LaserJet Toner Cartridge,1
Sürət sinfi,"Class 10, Class 1 (U1), V10",3
Çıxış qabı,30 Vərəq,6
IK,"TV, kondisioner və digər IK cihazların idarəsi",2
Bağlantı,USB 3.0,1
Part number,901-R350-WW02,1
CAS Gecikməsi,CL11 (11-13-E2),2
Təyinat,Gaming PC / PS5,4
Əməliyyat sistemi,Windows 10 Pro,1
Yeniləmə tezliyi,75 Hz,2
Daxil edilən,Rail Kit + External Battery Pack + batareya kabeli,1
Panel,"LED, 4K UHD 3840 × 2160, 60 Hz, 16:9",1
Volume,0.0094 m³,1
Model,DP109,1
Konfrans,3 tərəfli,1
Part number,RZ01-04310100-R3G1,1
Ekran,LED ifadələr (şarj statusu),3
Portlar,2 × USB-C + 1 × USB-A,6
Tənzimlənən,Bəli,1
LAN,"1 × GbE uplink + 3 × GbE downlink (1-i PoE PSE, 5 W)",1
Ölçülər,160 × 160 × 33.6 mm,1
Rəng,Qara / Ağ vurğularla,1
Part number,B230V_DNI,1
Model,"HP All-in-One 24""",6
Simsiz,Yox (bu factory P/N); Gigabit RJ-45,1
Təyinat,Noutbuk daşıma / qoruma,1
Təyinat,PC / noutbuk / PS5 (heatsink ilə),1
Ölçülər,42 × 11 × 37.5 sm,1
İstehsalçı,G&G,1
Established batteries,6 pcs × 12 V 9 Ah,1
Number of devices supported,1,1
Klaviatura,"işıqlı, rəqəm bloku",6
Part number,4X90U90618,1
Tip,Video konferans + 4K wireless presentation (meeting room),1
Konfrans,12-party,1
Sürücü,"3"" full-range ×2",1
Part number,SXS2000/4000GA,1
Nominal batareya gərginliyi,±192 V,1
Port,2 × 16 Gb Fibre Channel,1
Firewall (1518/512/64 byte UDP),5 / 5 / 5 Gbps,2
Portlar,48 × GE RJ45 PoE+ + 4 × GE SFP + mgmt 10/100 + konsol,1
İlk səhifə (qara),"6,5 san",1
Audio kodekləri,"G.711a, G.711u, G.729a, G.729ab",2
Seriya,Razer Basilisk V3 Pro 35K,4
Ölçülər,314.0 × 226.15 × 14.00–16.39 mm,2
Güc,20.000 VA / 20.000 W (unity PF),1
Operativ yaddaş,32GB (2x16GB) DDR5 5600,2
RGB,5 zona RGB + light bar; 6 effekt,1
Maks. ötürmə,25000 Mbit/s,2
PoE,"65 W, IEEE 802.3af/at, 8 port",1
Model,HP Mini PC 260 G9,1
Part number,2E-DL2240,1
Maximum diagonal,"32 """,6
Input frequency,40-70 avtomatik təyinetmə,2
Ölçü / çəki,"441 × 270 × 44 mm, 4.1 kq",1
Təyinat,"1U serverlər, Blade serverlər və sıx quraşdırılmış şəbəkə sistemləri.",1
Portlar,8 × GE RJ45 + 2 × 10GE RJ45/SFP+ shared WAN + USB 3 + konsol,1
Qida,90 W adapter,2
Standart,Wi-Fi 7 (802.11be),1
Qısaqapanma cərəyanı (Isc),"6,43 A",1
Part number,006R04766,1
Şəbəkə,"2 × 10/100/1000 (LAN + PC), PoE 802.3af, SIP/TLS/SRTP",1
Su keçirməzlik,Hava şəraitinə davamlı (yağış/qar). Suya batırılma və IP su keçirməzlik rəsmən dəstəklənmir,1
Çəki,188 q,1
Qeyd,"IronWolf Health Management; Rescue 3 il; işçi 4.8 W, idle 3.96 W; 600 000 load/unload",1
Model,Dell Pro Max 14 MC14250,2
Bağlantı,USB + Serial (RJ45),1
Tip,DECT IP Phone,1
Yaddaş,256 MB,8
Ölçülər,124.6 × 48.7 × 22.8 mm,1
Yaddaş,512 GB SSD | M.2 2280 | PCIe 5.0 | Opal 2.0,1
Seriya,Nexode Pro,5
Model,HP Color LaserJet Enterprise MFP M480f,1
Part number,460-BDSS,1
Növ,MSA SSD (6-pack-dən 1 ədəd qiyməti),1
Tip,Indoor Wi-Fi 6E Access Point,1
Model,GRP2613,1
Model,LP120,1
Brend,DYMO,5
Çəki,1.0 kq,5
İdarəetmə,EnGenius Cloud / Cloud App / lokal Web GUI,9
Barkod,6941876213245,1
Seriya,Razer BlackShark V3 X HyperSpeed,2
Part number,169L0AA,1
Bağlantı,Wired,10
Shoulder Strap,✔️,10
Seriya,Razer BlackWidow V4,1
Sertifikat,"FCC, CE",1
Protokol,SIP (Cisco Unified Communications Manager - CUCM / CME / Webex Calling),1
Model,GRP2650,1
Disk ölçüsü,2.5,10
Yaddaş tezliyi,3200 MHz,1
Form faktor,"2U rack, 88.6 × 432 × 511.2 mm",1
Tip,Simsiz oyun qulaqlığı (Cloud III S Wireless),1
Part number,PER5503A,1
Çəki,258.5 q,2
Prosessor,"Intel Core i7-1355U (10 nüvə / 12 axın, 1.7–5.0 GHz, 12 MB keş, 15 W)",5
EAN,0197029117465,1
Portlar,16 × GbE RJ45,1
"Çap sürəti (qara, ISO)",40 səh/dəq,5
Protokollar,"SNMPv1/v3, Modbus TCP, HTTPS, SSH",1
"Çap sürəti (qara, draft)",22 səh/dəq,6
Update frequency,75 Hz,1
Maximum power of PSU,500 W,2
Forma,Dəyirmi,6
Spikerfon,Tam dupleks (Full-duplex) genişzolaqlı akustik spikerfon,1
Tip,FortiSwitch 448E-POE — Layer 2/3 Secure Campus PoE+,1
Çəki,"0,74 kq (1.63 lb)",1
Maks. adapter,180 W,1
Non-blocking,20 Gbps,1
Yaddaş (bu konfiq),"1 × 480 GB SATA SSD 2.5"" hot-plug, 1 DWPD",1
Stereocüt,Bəli (iki Mini 3 Pro),3
Model,YNDX-00020-GRAY,1
Keçid tutumu,240 Gbps,1
Ölçü,1200 × 550 × 4 mm (3XL),2
Dönmə,"5400 rpm (AgileSpin, latency 6.0 ms)",2
Ethernet,Dual switched 100 m,1
Xüsusiyyətlər,"Omada SDN mərkəzləşdirilmiş bulud idarəetməsi, Omada Mesh simsiz körpü, Seamless Roaming (fasiləsiz keçid), HE160 (160 MHz kanal zolağı), OFDMA, MU-MIMO, WPA3 təhlükəsizlik şifrələməsi, 250+ eyni vaxtda istifadəçi tutumu",1
Sürətli şarj texnologiyası,Quick Charge 3.0,4
Rəng,Grey,1
Ölçü,479 × 452 × 514 mm; çəki 21.7 kq,1
Dimensions ( HxWxD ),118x555x604 mm,1
Part number,6N6E6AA,1
Uyğunluq,HPE ProLiant DL360 / DL380 Gen10 Plus (High Perf heatsink tələb oluna bilər),1
Tutum,12 000 mAh / 44.4 Wh,1
Part number,0B47070,1
Tətbiq,PoE olmayan switch ilə PoE cihaz qidalandırma,1
Hot-swap,Yes,4
Model,WA6020,1
Güc,1.500 VA / 1.350 W (PF 0.9),1
Komplekt,"Yığılı, paletlə çatdırılma",1
Panel,"IPS Black, əyri 2500R",1
Tip,Su sızması sensoru,1
Tip,"Indoor Wi-Fi 6 (802.11ax) access point, Instant On AP22",1
Ötürmə,262 Mpps,1
Tip,"FortiSwitch 224E — Layer 2/3 Secure Access, fanless",1
Xüsusiyyətlər,"XML xidmətləri, tənzimlənən erqonomik altlıq, səsli mesaj göstəricisi",1
Seriya,Yandex Stansiya Duo Maks,4
"Çap sürəti (qara, ISO)",21 səh/dəq,1
Part number,J9283D,1
Connecting an external battery,✔️ 6 pcs × 12 V 9 Ah (optional),1
İnterfeys,"USB 3.2 Gen 1 (5 Gbps), USB Type-A",9
A type,liquid + napkin,4
Bağlantı tipi,wireless,25
Uyğunluq,"16""-dək",1
Modul portu,Portativ batareya və iqlim modulu üçün yuva,3
Seriya,Razer Huntsman V3 Pro 8 kHz,1
Part number,MR.PRZ42U2412D.SC,1
Part number,P64706-B21,1
RGB,Razer Chroma (qulaqlar daxil),1
EAN,4549821410293,1
Uzunluq,1.5 m,5
Konnektorlar,SFP28 ↔ SFP28,1
Part number,AP2TBAC731B-1,1
Model,GS2220-28HP,1
Sensor / DPI,16000 DPI,2
Ölçü,133.3 × 31.2 mm (E×H),6
NPU,"3 nüvə, 6 TOPS (AI)",7
Şəbəkə portları,2 × 10/100/1000 Gigabit Ethernet RJ-45 (Gigabit Switch),2
Model,Dell 7.68 TB RI SSD,2
Prosessor,"Intel Core Ultra 7 258 V (8 nüvə / 8 axın, 2.2–4.8 GHz, Arc 140 V, NPU 47 TOPS)",6
Part number,C85FRET,1
Həssaslıq,108 dB SPL/mW,2
Təyinat,"Nintendo Switch, Steam Deck, ROG Ally, 4K yazı",2
Model,HP S7 Pro 734pm WQHD Conf,1
HDR,"True Black 500, Dolby Vision",1
Model,4GB 1Rx8 PC3-12800U-11-12-A1 (M378B5173EB0-CK0),1
"Cord length, m",3,2
Ölçü,"8.75 × 44.54 × 73.02 sm (Y×E×D, HPE datasheet)",1
Çəki,"76,1 kq",1
Tövsiyə olunan həcm,2000 - 5000 səh/ay,2
Qeyd,"Instant Secure Erase (ISE); SuperParity; oxu 8.9 W, yazma 7.1 W, idle 6.3 W; 10–60 °C",3
Rəng,Lavanda,1
Bağlantı,USB (3.5 mm→USB adapter daxil),1
Mühafizə dərəcəsi,"IP66 suya, toza və sərt hava şəraitinə tam davamlı korpus",1
Ekran,"27"", FHD 1920x1080, 300 nits, 100 Hz, 99% sRGB",1
Adjustments,tilt / turn / rotation,5
Audio kodekləri,"HD Audio (G.722), G.711u/a, G.723.1, G.726, G.729A/B, iLBC",1
Portlar,16 × 10/100/1000BASE-T PoE+,1
Equipment,keyboard,2
Çəki,21.9 kq,1
Dimensions (ShhVhT),430x310 x 59,1
En,166.9 mm,1
Part Number,786H6AA,1
Model,"HP Laptop 15""",3
Portlar,6 × SFP · 4 × SFP+ · 2 × GbE,1
HDR,HDR10,1
Çəki / ölçülər,175 q; 56x28.5x56 mm,1
İş temperaturu,0 – 70 °C,9
Arxiv ömrü,30 ilədək,1
Ölçülər,738.1 × 100.1 × 70.1 mm,1
Model,Lenovo ThinkPad Bluetooth Presenter Mouse (Aura Edition),1
Ekran,LED batareya indikatoru,1
Portlar,"USB4, dual display",1
Laptop Form Factor,"14""",1
Barkod,694743657302,1
Batareya / adapter,90 W adapter,10
Cəm tutum,11.52 TB (11.5 TB),1
Part number,BV800I-GR,1
Part number,R0Q73B,1
Keş,4 GB FBWC (Smart Storage Battery ayrıca — P01366-B21),1
Simsiz,Yox; Gigabit RJ-45,1
Daxil,Wireless Charging Pad,2
Starter,K 1 500 / CMY 1 000 səh (qutuda),1
Power Supply,USB,3
Ölçü / çəki,"76 × 20.6 × 9.8 mm, 11.6 q",3
Rəng,Boz RAL 7035 (.02),2
Giriş tezliyi,50/60 Hz,4
Part number,SPSD/512GB,1
Çəki,60 q,2
Vebkamera,Daxili,1
Qrafika,NVIDIA RTX PRO 500 Blackwell Laptop GPU 6GB GDDR7,1
Ölçülər (yığılmış),905 × 613 × 65 mm,1
Səmərəlilik,"~95,5–96,5% (online) · ECO: 99%",1
ANC,Hybrid Active Noise Cancellation,2
Ölçü,"195,6 × 116,1 × 9,7 sm",1
USB-C1/C2 çıxış,20 V/5A · 100 W maks (tək port),1
Model,25599-999-899,1
Model,Dell Vostro 3710 SFF,1
Çəki,28.7 q,4
Tip,"Naqilli oyun qulaqlığı (Cloud Stinger 3, PlayStation)",1
Model,GWN7605,1
Part number,210-BPVR,1
Uyğunluq,"Windows 11/10/8/7, macOS, Linux (Drayver tələb etmədən Plug & Play)",1
Tezlik,10–21000 Hz,3
Part nömrəsi,XGS1935-28-EU0101F,1
Dalğa forması,Stepped approximated sinewave,2
Yaddaş,512GB M.2 SSD,3
Sektor,512n,16
Seriya,S6825,1
Seriya,Vertiv Liebert GXT5,3
Kontroller,Intel E810-XXVAM2,1
Əlavə xüsusiyyətlər,Lenovo USB-C to 4 Ports USB-A Hub,1
Part number,TS1TESD265C,1
Standart,"10GBASE-SR, 850 nm",1
Ölçülər,356.78 × 251.90 × 15.67–17.95 mm,1
Çəki,68 kq,1
Portlar,24 × 10/100/1000,1
Yaddaş layout,1 x 64 GB,1
Oxuma / yazma,7000 / 6000 MB/s,1
Part number,B415V_DN,1
Çəki,20.2 kq,1
Tip,"Enterprise Unified Wi-Fi 6 AP, Aruba AP-505 (RW)",1
Ethernet,Gigabit 10/100/1000,14
Ölçü,479 × 475 × 491 mm; çəki 27.1 kq,1
Konfiqurasiya,BI — Wi-Fi + USB (şəbəkə portu yoxdur),1
Model,Dell UltraSharp U2520D,1
OS,Android,1
PoE,200 W; 2× PoE-bt (802.3bt) + 8× PoE af/at,1
Diaqonal,"23.8"" (60.5 sm) VA, 16:9, düz",1
Aylıq yük,30 000 səhifəyə qədər,1
Ölçü (H×D×W),44 × 260 × 440 mm,4
DWPD,0.5,3
Part Number,6H9B7AA,1
Dalğa uzunluğu,TX 1310nm / RX 1550nm (Tək lifli WDM),1
Ölçü,8.3 × 133.3 × 45 mm,4
Çəki,363 q,3
Hot-plug,Yes,7
Model,Dell Vostro 5620,1
Length of cord,6 m,1
Giriş diapazonu,120–300 VAC,1
On-die ECC,Var (DDR5),2
Rəsmi kod,MR.GTN42U610.01 + PRF63 (ön/arxa qapı 63% perforasiya),1
Portlar,48 × Gb RJ45 PoE,1
Model,GHP631,1
Ekran,"13.3"" WUXGA (1920×1200) IPS/UWVA, sensorlu, BrightView 300 nit",1
Wi-Fi Direct,Var,7
Form faktor,"Tower, 165 × 102 × 220.6 mm",1
Dairəvi LED,Var,3
Məsafə,500 m,1
"""USB-C Input/0utput",5 V=3A 9 V=2.22A 12 V=1.67A 20 W Max,1
EAN,0835514004141,1
Diaqonal,"27"" (68.6 sm) IPS, 16:9, düz",2
Tam ad,HPE BladeSystem c-Class 10Gb SFP+ SR Transceiver,1
RAM,4 GB onboard (genişlənməz),2
Model,Dell P2722HE,1
CPU,"8-core ARM (4× Cortex-A76 2.2 GHz + 4× Cortex-A55 1.8 GHz), Mali-G610, NPU 6 TOPS",1
Part Number,4P5P7AA,1
Giriş,"Hardwire, 230 V (176–288 V)",1
Rəng,Kosmik boz,11
MTBF,2 500 000 saat MTTF/MTBF; AFR 0.35%,2
İnterfeys,USB Type-C + USB-A adapter,1
Part Number,6H9B8AA,1
Mikrofon sayı,4,1
Yaddaş,128 GB,10
Part number,N6542_QLCVDT3710EMEA01_UBU,1
PoE,PoE çıxışı yoxdur (yalnız port 8 PoE-PD in),1
Giriş cərəyanı,1 A,1
Sürətli şarj texnologiyası,Power Delivery 3.0,2
Prosessor,"Intel Core Ultra 7 256 V (8 nüvə / 8 axın, 2.2–4.8 GHz, Arc 140 V, NPU 47 TOPS)",2
Çəki,"6,19 kq",2
Tip,DDR3 ValueRAM Desktop,1
İnterfeys,USB,10
Part Number,519T2AA,1
Çəki,1.53 kq,1
Batareya tipi,Lithium-Ion (Li-Ion),1
Bağlantı,HyperSpeed 2.4 GHz + Bluetooth (Xbox variantında USB-A),2
Tip,L2 Ethernet Switch (PoE+),3
Crest factor,3:1,5
Sertifikat,"CE, CB, UKCA, RCM, RoHS, REACH",1
Çəki / ölçülər,9.5 kq (20.94 lbs) | 808.4x231.6x569.3 mm,1
Klaviatura,"rəqəm bloku, Copilot düyməsi",2
Model,Lenovo Wireless Multi-Mode Pro Combo Keyboard and Mouse 6000,1
Ekran,"7"" planşet tipli rəngli toxunma paneli",2
Part number,21TF004QFW,1
Uyğunluq,SFP və SFP/SFP+ slotlu Fortinet sistemləri,2
Operativ yaddaş,16GB DDR5,7
Sertifikat,"CE, UKCA, FCC, VCCI, BSMI, RoHS",4
